Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-who.base.json	6536	-	0	0	0	0	0	0	4	49	0	0	0	0	0	0	0	1	0	0	70	72	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-Markdown.json	1314	18	0	0	0	1	0	10	0	32	0	0	0	0	0	0	0	0	0	0	64	2147	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-SGActor.json	2257	8	1	0	0	0	0	56	0	39	0	0	0	0	0	0	0	1	0	0	192	727	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-SGBusinessProcess.json	733	6	0	0	0	0	0	173	0	21	0	0	0	0	0	0	0	2	0	0	556	1357	0	0	0	12	0	2
fsh-generated/resources/StructureDefinition-SGCodeSystem.json	702	7	0	0	0	0	0	121	0	14	0	0	0	0	0	0	0	0	0	0	298	658	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-SGGraphDefinition.json	4371	8	0	0	0	0	0	116	0	50	0	0	1	0	0	0	0	1	0	0	298	493	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-SGImplementationGuide.json	2399	7	0	0	0	0	0	380	0	28	0	0	0	0	0	0	0	1	0	0	596	1226	0	0	0	10	0	2
fsh-generated/resources/StructureDefinition-SGLogicalModel.json	6510	14	0	0	0	0	0	115	0	64	0	0	0	0	0	0	0	1	0	0	977	1931	0	0	0	20	0	3
fsh-generated/resources/StructureDefinition-SGMeasure.json	1125	12	0	0	1	0	0	128	0	31	0	0	0	0	0	0	0	1	0	0	444	592	0	0	0	8	1	2
fsh-generated/resources/StructureDefinition-SGPersona.json	755	8	0	0	0	0	0	58	0	19	0	0	1	0	0	0	0	1	0	0	129	160	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-SGTransactionDefinition.json	968	7	1	0	0	0	0	64	0	19	0	0	0	0	0	0	0	0	0	0	322	227	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-SGTransactionOperation.json	2780	7	0	0	0	0	0	97	0	16	0	0	0	0	0	0	0	0	0	0	300	313	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-SGValueSet.json	688	7	0	0	0	0	0	59	0	28	0	0	0	0	0	0	0	1	0	0	411	701	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-Sgactorext.json	1487	10	0	0	0	0	0	5	0	12	0	0	0	0	0	0	0	0	0	0	52	101	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Sgcode.json	1570	6	0	0	0	0	0	6	0	14	0	0	0	0	0	0	0	1	0	0	87	149	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Sgtransaction.json	1549	7	0	0	0	0	0	5	0	12	0	0	0	0	0	0	0	0	0	0	54	106	0	0	0	1	0	0
input/profiles/structuredefinition-sg-groupdefinition.json	1531	7	0	0	0	0	0	28	0	15	0	0	0	0	0	0	0	0	0	0	197	389	0	0	0	4	0	1
