Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.base.json	24187	-	0	0	0	0	0	0	11	84	0	0	0	0	0	0	0	1	0	0	138	154	0	0	0	0	17	0	1
fsh-generated/resources/ActivityDefinition-SGDecisionTableGuidance.json	926	6	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	20	21	0	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-CDHIv1.json	11818	11	0	0	1	0	0	0	2	37	0	0	1	0	0	0	0	0	0	0	62	624	0	0	0	0	7	0	0
fsh-generated/resources/CodeSystem-CDSCv1.json	2565	5	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	26	53	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DecisionTableActions.json	668	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	17	41	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DocumentationSections.json	1121	4	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	18	44	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ISCO08.json	63870	10	0	0	1	0	0	0	4	53	0	0	0	0	0	0	0	1	0	0	162	182	0	0	0	0	25	0	1
fsh-generated/resources/CodeSystem-SGPersonaTypes.json	970	4	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	18	39	0	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-SGTasks.json	3123	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	21	43	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CDHIv1Hierarchy.json	21902	8	0	0	0	0	0	0	3	60871	0	0	0	0	0	0	0	0	0	0	56	76	0	0	0	0	7	0	0
fsh-generated/resources/Questionnaire-DAK.DT.IMMZ.D2.DT.BCGQuestionnaire.json	3899	4	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	46	37	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-BusinessProcessWorkflow.json	3551	4	0	13	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	51	362	0	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-CoreDataElement.json	1998	5	0	26	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	33	152	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DAK.json	5692	5	0	48	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	67	178	0	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-DecisionSupportLogic.json	1497	3	0	43	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	27	109	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DublinCore.json	5625	5	0	48	1	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	67	127	0	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-FunctionalRequirement.json	3137	4	0	47	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	49	96	0	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-GenericPersona.json	2941	4	0	42	0	0	0	0	0	18	0	0	1	0	0	0	0	0	0	0	39	91	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-HealthInterventions.json	1872	4	0	44	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	30	76	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-LinkIdExt.json	1152	4	0	22	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	36	84	0	0	0	0	3	1	0
fsh-generated/resources/StructureDefinition-Markdown.json	1153	4	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	35	102	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-NonFunctionalRequirement.json	2261	4	0	11	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	35	77	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-Persona.json	2421	4	0	12	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	37	653	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ProgramIndicator.json	3366	4	0	9	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	44	119	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-Requirements.json	1783	4	0	7	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	29	102	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SGActivityDefinition.json	899	4	0	57	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	157	771	0	0	0	0	33	0	1
fsh-generated/resources/StructureDefinition-SGActorExt.json	1326	4	0	15	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	36	112	0	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-SGBusinessProcess.json	691	3	0	79	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	240	472	0	0	0	0	20	0	1
fsh-generated/resources/StructureDefinition-SGCodeSystem.json	811	4	0	57	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	153	498	0	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-SGCommunicationRequest.json	1033	4	0	41	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	96	323	0	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-SGConceptMap.json	811	4	0	45	0	0	0	0	0	15	0	0	1	0	0	0	0	0	0	0	137	330	0	0	0	0	9	1	0
fsh-generated/resources/StructureDefinition-SGDecisionTable.json	768	4	0	76	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	197	311	0	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-SGDocumentation.json	2214	4	0	19	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	50	87	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-SGImplementationGuide.json	9487	5	0	164	1	0	0	0	0	78	0	0	0	0	0	0	0	2	0	0	602	1123	0	0	0	0	42	0	3
fsh-generated/resources/StructureDefinition-SGLibrary.json	778	4	0	37	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	93	310	0	0	0	0	11	1	0
fsh-generated/resources/StructureDefinition-SGLogicalModel.json	6453	5	0	198	0	0	0	0	0	45	0	0	1	0	0	0	0	2	0	0	476	965	0	0	0	0	34	0	2
fsh-generated/resources/StructureDefinition-SGMarkdown.json	1195	4	0	13	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	36	69	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SGMeasure.json	778	4	0	51	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	153	264	0	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-SGPlanDefinition.json	855	5	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	192	290	0	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-SGQuestionnaire.json	1700	4	0	38	1	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	162	277	0	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-SGRequirementExt.json	1304	4	0	7	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	35	72	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SGStructureDefinition.json	790	4	0	46	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	137	256	0	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-SGStructureMap.json	1045	3	0	46	0	0	0	0	0	17	0	0	1	0	0	0	0	1	0	0	166	246	0	0	0	0	14	1	1
fsh-generated/resources/StructureDefinition-SGTask.json	1958	5	0	11	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	61	93	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SGValueSet.json	789	4	0	41	1	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	178	261	0	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-Satisfies.json	1531	4	0	8	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	35	71	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-TestScenario.json	1243	4	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	26	62	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-UserScenario.json	1860	4	0	7	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	30	65	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-CDHIv1.json	476	4	0	0	0	0	0	0	1	58	0	0	0	0	0	0	0	0	0	0	15	380	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-CDSCv1.json	484	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	14	93	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-DecisionTableActions.json	492	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	15	56	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-DocumentationSection.json	521	4	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	739	0	0	0	0	0	0	0
