Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.base.json	24187	-	0	0	0	0	0	0	13	69	0	0	0	0	0	0	0	1	0	0	183	136	0	0	0	0	8	0	1
fsh-generated/resources/ActivityDefinition-SGDecisionTableGuidance.json	926	7	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	24	22	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CDHIv1.json	11818	9	0	0	1	0	0	0	3	37	0	0	0	0	0	0	0	1	0	0	64	590	0	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-CDSCv1.json	2565	4	0	0	0	0	0	0	0	15	0	0	1	0	0	0	0	0	0	0	38	58	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DecisionTableActions.json	668	4	0	0	1	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	18	81	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DocumentationSections.json	1121	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	17	44	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ISCO08.json	63870	8	0	0	0	0	0	0	5	37	0	0	0	0	0	0	0	1	0	0	201	141	0	0	0	0	13	0	1
fsh-generated/resources/CodeSystem-SGPersonaTypes.json	970	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	22	39	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-SGTasks.json	3123	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	24	43	0	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-CDHIv1Hierarchy.json	21902	6	0	0	0	0	0	0	2	40162	0	0	0	0	0	0	0	1	0	0	67	77	0	0	0	0	4	0	0
fsh-generated/resources/Questionnaire-DAK.DT.IMMZ.D2.DT.BCGQuestionnaire.json	3899	4	0	0	1	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	63	39	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BusinessProcessWorkflow.json	3551	4	0	12	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	65	372	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-CoreDataElement.json	1998	5	0	28	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	32	164	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DAK.json	5692	4	0	50	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	73	154	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-DecisionSupportLogic.json	1497	4	0	43	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	28	80	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DublinCore.json	5625	4	0	66	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	64	127	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-FunctionalRequirement.json	3137	4	0	47	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	49	99	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-GenericPersona.json	2941	4	0	36	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	47	91	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-HealthInterventions.json	1872	4	0	8	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	32	75	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-LinkIdExt.json	1152	4	0	13	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	35	87	0	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-Markdown.json	1153	4	0	12	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	37	100	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-NonFunctionalRequirement.json	2261	5	0	11	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	35	78	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Persona.json	2421	4	0	11	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	38	502	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ProgramIndicator.json	3366	4	0	9	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	45	93	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Requirements.json	1783	4	0	7	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	31	71	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SGActivityDefinition.json	899	4	0	61	0	0	0	0	0	29	0	0	1	0	0	0	0	2	0	0	170	661	0	0	0	0	11	1	1
fsh-generated/resources/StructureDefinition-SGActorExt.json	1326	4	0	15	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	50	173	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SGBusinessProcess.json	691	3	0	90	1	0	0	0	0	31	0	0	0	0	0	0	0	3	0	0	225	508	0	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-SGCodeSystem.json	811	4	0	54	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	145	483	0	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-SGCommunicationRequest.json	1033	4	0	35	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	91	356	0	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-SGConceptMap.json	811	4	0	37	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	146	420	0	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-SGDecisionTable.json	768	4	0	73	0	0	0	0	0	31	0	0	1	0	0	0	0	1	0	0	192	422	0	0	0	0	13	1	1
fsh-generated/resources/StructureDefinition-SGDocumentation.json	2214	4	0	24	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	53	82	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-SGImplementationGuide.json	9487	5	0	125	0	0	0	0	0	123	0	0	0	0	0	0	0	2	0	0	582	879	0	0	0	0	34	0	2
fsh-generated/resources/StructureDefinition-SGLibrary.json	778	4	0	24	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	94	183	0	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-SGLogicalModel.json	6453	4	0	174	1	0	0	0	0	45	0	0	1	0	0	0	0	2	0	0	512	1171	0	0	0	0	33	0	2
fsh-generated/resources/StructureDefinition-SGMarkdown.json	1195	4	0	7	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	36	162	0	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-SGMeasure.json	778	4	0	39	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	154	528	0	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-SGPlanDefinition.json	855	5	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	193	457	0	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-SGQuestionnaire.json	1700	4	0	42	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	166	375	0	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-SGRequirementExt.json	1304	4	0	7	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	35	103	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SGStructureDefinition.json	790	4	0	37	1	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	136	320	0	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-SGStructureMap.json	1045	3	0	38	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	165	243	0	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-SGTask.json	1958	5	0	13	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	56	88	0	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-SGValueSet.json	789	4	0	40	0	0	0	0	0	22	0	0	1	0	0	0	0	1	0	0	175	262	0	0	0	0	9	1	0
fsh-generated/resources/StructureDefinition-Satisfies.json	1531	4	0	9	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	36	66	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-TestScenario.json	1243	4	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	26	59	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-UserScenario.json	1860	4	0	7	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	30	62	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-CDHIv1.json	476	4	0	0	1	0	0	0	1	59	0	0	0	0	0	0	0	0	0	0	16	512	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-CDSCv1.json	484	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	14	129	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-DecisionTableActions.json	492	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	15	57	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-DocumentationSection.json	521	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	14	462	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ISCO08ValueSet.json	451	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	14	451	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-SGPersonaTypesVS.json	499	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	15	50	0	0	0	0	0	0	0
input/profiles/StructureDefinition-SGGroupDefinition.json	1505	4	0	34	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	135	347	0	0	0	0	7	0	1
input/resources/StructureDefinition-SGActor.json	1245	5	0	11	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	84	160	0	0	0	0	4	0	0
input/resources/StructureDefinition-SGCode.json	1635	4	0	7	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	49	80	0	0	0	0	2	0	0
input/resources/StructureDefinition-SGGraphDefinition.json	2982	4	0	52	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	125	171	0	0	0	0	8	0	1
input/resources/StructureDefinition-SGRequirements.json	2825	5	0	28	0	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	117	165	0	0	0	0	7	0	0
input/resources/StructureDefinition-SGString.json	1427	4	0	9	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	34	70	0	0	0	0	1	0	0
input/resources/StructureDefinition-SGTransaction.json	11715	6	0	100	0	0	0	0	0	133	0	0	1	0	0	0	0	2	0	0	573	904	0	0	0	0	31	1	2
input/resources/StructureDefinition-SGUserStory.json	2168	7	0	8	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	48	113	0	0	1	0	3	0	1
