Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.base.json	24630	-	0	0	0	0	0	0	13	80	0	0	0	0	0	0	0	1	0	0	153	172	0	0	0	0	10	0	1
fsh-generated/resources/ActivityDefinition-SGDecisionTableGuidance.json	926	8	0	0	1	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	31	32	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CDHIv1.json	11818	11	0	0	0	0	0	0	3	46	0	0	0	0	0	0	0	0	0	0	64	590	0	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-CDSCv1.json	2565	6	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	33	61	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DecisionTableActions.json	668	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	25	52	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DocumentationSections.json	1121	5	0	0	1	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	28	55	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ISCO08.json	63870	10	0	0	0	0	0	0	5	52	0	0	1	0	0	0	0	1	0	0	162	175	0	0	0	0	21	0	1
fsh-generated/resources/CodeSystem-SGPersonaTypes.json	970	5	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	28	68	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-SGTasks.json	3123	5	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	33	74	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CDHIv1Hierarchy.json	21902	8	0	0	0	0	0	0	2	55902	0	0	0	0	0	0	0	1	0	0	68	103	0	0	0	0	4	0	0
fsh-generated/resources/Questionnaire-DAK.DT.IMMZ.D2.DT.BCGQuestionnaire.json	3899	5	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	60	62	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BusinessProcessWorkflow.json	4441	6	0	15	1	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	78	460	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-CoreDataElement.json	2473	5	0	39	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	49	170	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DAK.json	8220	6	0	55	0	0	1	0	0	21	0	0	0	0	0	0	0	0	0	0	101	176	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-DecisionSupportLogic.json	2384	5	0	61	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	47	88	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DublinCore.json	5625	6	0	77	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	74	163	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-FunctionalRequirement.json	3137	5	0	58	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	59	123	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-GenericPersona.json	3094	5	0	33	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	54	122	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-HealthInterventions.json	2349	5	0	13	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	49	106	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-LinkIdExt.json	1152	5	0	15	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	48	115	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Markdown.json	1153	4	0	15	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	51	122	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-NonFunctionalRequirement.json	2261	5	0	12	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	47	106	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Persona.json	2421	5	0	13	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	48	448	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ProgramIndicator.json	3837	5	0	23	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	62	119	0	0	0	0	2	0	0
