Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.base.json	17917	-	0	0	0	0	0	0	11	78	0	0	0	0	0	0	0	1	0	0	127	138	0	0	0	7	0	1
fsh-generated/resources/ActivityDefinition-SGDecisionTableGuidance.json	926	6	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	24	21	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CDHIv1.json	11818	10	0	0	1	0	0	0	2	42	0	0	0	0	0	0	0	0	0	0	62	894	0	0	0	6	0	0
fsh-generated/resources/CodeSystem-CDSCv1.json	2565	5	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	31	82	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DecisionTableActions.json	668	4	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	30	52	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DocumentationSections.json	1121	4	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	20	52	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-SGTasks.json	3123	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	25	53	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CDHIv1Hierarchy.json	21902	8	0	0	0	0	0	0	4	116993	0	0	0	0	0	0	0	1	0	0	58	98	0	1	0	4	0	0
fsh-generated/resources/StructureDefinition-FunctionalRequirement.json	3137	4	0	9	0	0	0	0	0	31	0	0	1	0	0	0	0	0	0	0	53	352	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-LinkIdExt.json	1152	6	0	29	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	38	228	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-Markdown.json	1153	5	0	45	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	37	120	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-NonFunctionalRequirement.json	2261	4	0	42	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	36	103	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SGActivityDefinition.json	899	5	0	92	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	174	1149	0	0	0	14	1	1
fsh-generated/resources/StructureDefinition-SGActorExt.json	1326	4	0	50	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	46	130	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SGBusinessProcess.json	691	4	0	106	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	196	579	0	0	0	15	0	3
fsh-generated/resources/StructureDefinition-SGCodeSystem.json	811	5	0	94	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	144	432	0	0	0	12	0	0
fsh-generated/resources/StructureDefinition-SGCommunicationRequest.json	1033	4	0	34	0	0	0	0	0	46	0	0	0	0	0	0	0	1	0	0	98	383	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-SGConceptMap.json	811	4	0	77	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	143	468	0	0	0	9	0	0
