Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.base.json	54565	-	0	0	0	0	0	0	19	162	0	0	0	0	0	0	0	1	0	0	116	198	243	0	0	0	0	12	0	2
fsh-generated/resources/ActivityDefinition-SGDecisionTableGuidance.json	926	3	0	0	1	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	7	30	16	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.CommunityHealthWorker.json	1306	0	0	0	1	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	6	20	36	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.DataManager.json	1676	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	7	22	15	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.HealthSystemManager.json	1410	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	18	15	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.HealthcareProvider.json	1819	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	18	15	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.Person.json	1334	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	18	14	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.System.ClientRegistry.json	1036	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6	14	13	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.System.EMR.json	1290	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	13	14	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.System.HMIS.json	1097	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	12	13	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.System.InteropPlatform.json	1103	1	0	0	0	0	1	0	1	6	0	0	0	0	0	0	0	0	0	0	6	13	13	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.System.LIS.json	1099	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	5	16	13	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.System.LMIS.json	991	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	13	13	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.System.SurveillanceSystem.json	1026	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	5	15	13	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CDHIv1.json	11767	2	0	0	1	0	0	0	1	68	0	0	1	0	0	0	0	0	0	0	15	175	188	0	0	0	0	11	0	0
fsh-generated/resources/CodeSystem-CDHIv2.json	14875	2	0	0	0	0	0	0	2	54	0	0	0	0	0	0	0	1	0	0	14	209	115	0	0	0	0	11	0	0
fsh-generated/resources/CodeSystem-CDSCv1.json	2565	1	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	6	43	40	0	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-CDSCv2.json	11219	1	0	0	0	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	11	128	59	0	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-CoreDataElementType.json	1018	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	5	22	28	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DecisionTableActions.json	668	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	17	29	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DocumentationSections.json	1121	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	21	29	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ISCO08.json	63870	18	0	0	0	0	0	0	6	81	0	0	0	0	0	0	0	0	0	0	21	583	161	0	0	0	0	32	0	1
fsh-generated/resources/CodeSystem-SGPersonaTypes.json	970	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	21	25	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-SGTasks.json	3123	1	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	7	43	30	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CDHIv1Hierarchy.json	21889	5	0	0	0	0	0	0	3	624	0	0	0	0	0	0	0	0	0	0	7	206	170	0	0	1	0	9	0	0
fsh-generated/resources/ConceptMap-CDHIv1toCDHIv2.json	31422	4	0	0	0	0	0	0	2	337	0	0	0	0	0	0	0	0	0	0	20	293	127	0	0	0	0	13	0	0
fsh-generated/resources/ConceptMap-CDHIv2Hierarchy.json	24618	5	0	0	0	0	0	0	2	502	0	0	0	0	0	0	0	0	0	0	14	226	125	0	0	0	0	7	0	0
fsh-generated/resources/ConceptMap-CDSCv1toCDSCv2.json	8704	3	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	9	79	48	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-DAK.DT.IMMZ.D2.DT.BCGQuestionnaire.json	3899	1	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	5	215	41	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-BusinessProcessWorkflow.json	4493	2	0	12	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	4	255	509	0	0	0	0	9	1	0
