Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.base.json	12250	-	0	0	0	0	0	0	6	609	0	0	0	0	0	0	0	1	0	0	105	109	0	0	0	6	0	0
fsh-generated/resources/CodeSystem-DocumentationSections.json	1121	7	0	0	1	0	1	0	0	16	0	0	1	0	0	0	0	0	0	0	31	1616	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-LinkIdExt.json	1152	7	0	14	0	0	0	0	1	33	0	0	0	0	0	0	0	0	0	0	40	206	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-Markdown.json	1153	7	0	29	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	37	204	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SGActivityDefinition.json	899	6	0	123	0	0	0	0	0	30	0	0	0	0	0	0	0	2	0	0	178	886	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-SGActorExt.json	1326	9	0	63	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	42	102	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SGBusinessProcess.json	691	6	0	113	1	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	192	470	0	0	0	10	0	3
fsh-generated/resources/StructureDefinition-SGCodeSystem.json	811	6	0	108	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	140	417	0	0	0	7	1	0
fsh-generated/resources/StructureDefinition-SGConceptMap.json	811	6	0	86	0	0	0	0	0	16	0	0	1	0	0	0	0	1	0	0	134	451	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-SGDocumentation.json	1830	6	0	18	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	49	122	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SGImplementationGuide.json	9487	9	0	474	0	0	0	0	0	100	0	0	0	0	0	0	0	2	0	0	646	1080	0	0	0	26	0	2
fsh-generated/resources/StructureDefinition-SGLibrary.json	778	6	0	22	1	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	126	276	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-SGLogicalModel.json	6453	8	0	71	0	0	0	0	0	63	0	0	0	0	0	0	0	2	0	0	510	806	0	0	0	24	0	2
fsh-generated/resources/StructureDefinition-SGMarkdown.json	1195	6	0	12	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	39	62	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SGMeasure.json	778	6	0	29	0	0	0	0	0	20	0	0	1	0	0	0	0	1	0	0	164	311	0	0	0	8	1	1
fsh-generated/resources/StructureDefinition-SGPlanDefinition.json	855	6	0	65	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	234	293	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-SGQuestionnaire.json	844	6	0	14	1	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	150	293	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-SGStructureDefinition.json	790	5	0	14	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	135	345	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-SGStructureMap.json	1045	4	0	15	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	162	435	0	0	0	8	1	1
fsh-generated/resources/StructureDefinition-SGValueSet.json	789	5	0	14	0	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	170	326	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-Satisfies.json	1531	7	0	7	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	36	68	0	0	0	1	0	1
fsh-generated/resources/ValueSet-DocumentationSection.json	522	6	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	15	789	0	0	0	1	0	0
input/profiles/StructureDefinition-SGGroupDefinition.json	1505	5	0	29	1	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	130	296	0	0	0	7	0	0
input/resources/StructureDefinition-SGActor.json	1245	4	0	12	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	80	184	0	0	0	4	0	0
input/resources/StructureDefinition-SGCode.json	1635	4	0	7	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	48	98	0	0	0	2	0	1
input/resources/StructureDefinition-SGGraphDefinition.json	2982	4	0	42	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	121	198	0	0	0	6	0	0
input/resources/StructureDefinition-SGRequirements.json	2085	3	0	11	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	106	164	0	0	0	6	0	0
input/resources/StructureDefinition-SGTransaction.json	11715	6	0	160	1	0	0	0	0	72	0	0	1	0	0	0	0	2	0	0	540	601	0	0	0	28	1	2
