Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.base.json	24630	-	0	1	0	0	0	0	12	76	0	0	0	0	0	0	0	1	0	0	154	155	0	0	0	0	7	0	1
fsh-generated/resources/ActivityDefinition-SGDecisionTableGuidance.json	926	7	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	0	0	0	21	21	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CDHIv1.json	11818	8	0	0	1	0	0	0	2	39	0	0	0	0	0	0	0	0	0	0	61	761	0	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-CDSCv1.json	2565	5	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	25	79	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DecisionTableActions.json	668	4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	16	45	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DocumentationSections.json	1121	4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	18	46	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ISCO08.json	63870	10	0	0	0	0	0	0	7	48	0	0	0	0	0	0	0	1	0	0	149	169	0	0	0	0	12	0	1
fsh-generated/resources/CodeSystem-SGPersonaTypes.json	970	4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	18	43	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-SGTasks.json	3123	5	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	22	43	0	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-CDHIv1Hierarchy.json	21902	7	0	0	0	0	0	0	3	60796	0	0	0	0	0	0	0	0	0	0	61	75	0	0	0	0	4	0	0
fsh-generated/resources/Questionnaire-DAK.DT.IMMZ.D2.DT.BCGQuestionnaire.json	3899	4	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	49	38	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BusinessProcessWorkflow.json	4441	5	0	19	0	0	0	0	0	22	0	0	1	0	0	0	0	1	0	0	64	394	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-CoreDataElement.json	2473	5	0	28	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	42	224	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DAK.json	8220	5	0	53	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	91	188	0	0	0	0	6	1	0
fsh-generated/resources/StructureDefinition-DecisionSupportLogic.json	2384	4	0	42	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	36	97	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DublinCore.json	5625	5	0	50	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	64	178	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-FunctionalRequirement.json	3137	5	0	43	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	47	136	0	0	0	0	2	0	0
