Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.base.json	5082	-	0	0	0	0	0	0	4	72	0	0	0	0	0	0	0	0	0	0	90	117	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-Markdown.json	1153	5	1	0	1	1	0	15	0	33	0	0	1	0	0	0	0	0	0	0	65	1570	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SGBusinessProcess.json	535	4	0	0	0	0	0	150	0	23	0	0	0	0	0	0	0	3	0	0	378	1596	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-SGCodeSystem.json	504	4	0	0	0	0	0	111	0	17	0	0	0	0	0	0	0	0	0	0	247	790	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-SGImplementationGuide.json	2200	5	0	0	0	0	0	280	1	66	0	0	0	0	0	0	0	1	0	0	513	1251	0	0	0	10	1	0
fsh-generated/resources/StructureDefinition-SGLogicalModel.json	6311	5	0	0	0	0	0	110	0	56	0	0	1	0	0	0	0	2	0	0	996	1764	0	0	0	17	0	2
fsh-generated/resources/StructureDefinition-SGMeasure.json	927	6	0	0	0	0	0	122	0	32	0	0	0	0	0	0	0	1	0	0	298	604	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-SGValueSet.json	490	3	0	0	0	0	0	130	0	27	0	0	0	0	0	0	0	0	0	0	311	680	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-Sgcode.json	1409	5	0	0	0	0	0	49	0	18	0	0	0	0	0	0	0	0	0	0	86	170	0	0	0	2	0	0
input/profiles/structuredefinition-sg-groupdefinition.json	1531	6	1	0	0	0	0	36	0	22	0	0	0	0	0	0	0	1	0	0	185	370	0	0	0	4	0	0
