Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.base.json	8131	-	0	0	0	0	0	0	5	94	0	0	0	0	0	0	0	1	0	0	108	95	0	0	0	4	1	1
fsh-generated/resources/StructureDefinition-Markdown.json	1153	6	0	0	0	0	0	11	0	51	0	0	0	0	0	0	0	0	0	0	42	1176	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SGActivityDefinition.json	899	2	1	0	0	0	0	61	0	24	0	0	1	0	0	0	0	2	0	0	181	1335	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-SGBusinessProcess.json	691	4	0	0	0	0	0	113	0	27	0	0	0	0	0	0	0	4	0	0	202	1068	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-SGCodeSystem.json	811	5	0	0	0	0	0	70	0	21	0	0	0	0	0	0	0	2	0	0	134	639	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-SGConceptMap.json	811	2	0	0	0	0	0	72	0	21	0	0	0	0	0	0	0	2	0	0	127	403	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-SGImplementationGuide.json	9487	4	0	0	0	0	0	454	0	128	0	0	1	0	0	0	0	7	0	0	576	1836	0	0	0	32	1	2
fsh-generated/resources/StructureDefinition-SGLibrary.json	778	2	0	0	0	0	0	30	0	13	0	0	0	0	0	0	0	0	0	0	89	360	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-SGLogicalModel.json	6453	4	0	0	0	0	0	61	0	56	0	0	0	0	0	0	0	11	0	0	463	1371	0	0	0	35	0	2
fsh-generated/resources/StructureDefinition-SGMeasure.json	778	3	1	0	0	0	0	33	0	14	0	0	0	0	0	0	0	1	0	0	146	577	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-SGPlanDefinition.json	855	4	0	0	0	0	0	60	0	19	0	0	1	0	0	0	0	1	0	0	179	707	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-SGQuestionnaire.json	844	4	0	0	0	0	0	59	0	18	0	0	0	0	0	0	0	0	0	0	144	613	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-SGStructureDefinition.json	790	4	0	0	0	0	0	48	0	19	0	0	0	0	0	0	0	1	0	0	133	430	0	0	0	8	1	1
fsh-generated/resources/StructureDefinition-SGStructureMap.json	1045	3	0	0	0	0	0	29	0	18	0	0	0	0	0	0	0	0	0	0	154	543	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-SGValueSet.json	789	2	0	0	0	0	0	25	0	38	0	0	0	0	0	0	0	1	0	0	163	388	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-Sgcode.json	1409	3	0	0	0	0	0	14	0	7	0	0	0	0	0	0	0	0	0	0	43	104	0	0	0	2	0	0
input/profiles/StructureDefinition-SGGroupDefinition.json	1505	2	0	0	0	0	0	43	0	12	0	0	0	0	0	0	0	0	0	0	152	405	0	0	0	8	0	0
