Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.base.json	15320	-	0	0	0	0	0	0	4	314	0	0	0	0	0	0	0	0	0	0	98	97	0	0	0	7	0	1
fsh-generated/resources/CodeSystem-CDHIv1.json	11818	7	0	0	0	0	0	0	1	32	0	0	1	0	0	0	0	1	0	0	60	2166	0	0	0	5	0	0
fsh-generated/resources/CodeSystem-CDSCv1.json	2565	4	0	0	1	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	22	82	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DocumentationSections.json	1121	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	17	64	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CDHIv1Hierarchy.json	21902	14	0	0	0	0	0	0	1	269	0	0	0	0	0	0	0	0	0	0	51	88	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-FunctionalRequirement.json	3137	7	0	7	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	49	213	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-LinkIdExt.json	1152	6	0	24	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	38	233	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Markdown.json	1153	7	0	46	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	33	217	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-NonFunctionalRequirement.json	2261	5	0	36	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	33	89	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SGActivityDefinition.json	899	4	0	79	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	164	683	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-SGActorExt.json	1326	4	0	34	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	34	62	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SGBusinessProcess.json	691	4	0	170	0	0	0	0	0	32	0	0	1	0	0	0	0	1	0	0	193	429	0	0	0	8	1	2
fsh-generated/resources/StructureDefinition-SGCodeSystem.json	811	3	0	117	0	0	0	0	0	26	0	0	0	0	0	0	0	1	0	0	141	403	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-SGConceptMap.json	811	4	0	93	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	135	328	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-SGDocumentation.json	2214	4	0	20	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	48	89	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SGImplementationGuide.json	9487	6	0	498	0	0	0	0	0	101	0	0	0	0	0	0	0	4	0	0	599	1011	0	0	0	26	0	2
fsh-generated/resources/StructureDefinition-SGLibrary.json	778	3	0	15	0	0	0	1	0	25	0	0	0	0	0	0	0	1	0	0	95	268	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-SGLogicalModel.json	6453	5	0	60	1	0	0	0	0	63	0	0	0	0	0	0	0	3	0	0	545	1156	0	0	0	20	1	2
fsh-generated/resources/StructureDefinition-SGMarkdown.json	1195	4	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	35	83	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SGMeasure.json	778	3	0	13	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	155	400	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-SGPlanDefinition.json	855	4	0	42	0	0	0	0	0	18	0	0	1	0	0	0	0	1	0	0	190	263	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-SGQuestionnaire.json	844	3	0	13	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	149	233	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-SGRequirementExt.json	1304	4	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	34	51	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SGStructureDefinition.json	790	4	0	12	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	135	271	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-SGStructureMap.json	1045	3	0	13	0	0	0	0	0	17	0	0	0	0	0	0	0	2	0	0	166	283	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-SGValueSet.json	789	4	0	13	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	173	238	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-Satisfies.json	1531	6	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	34	56	0	0	0	1	1	0
fsh-generated/resources/ValueSet-CDHIv1.json	476	5	0	0	1	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	13	387	0	0	0	0	0	0
fsh-generated/resources/ValueSet-CDSCv1.json	484	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	85	0	0	0	0	0	0
fsh-generated/resources/ValueSet-DocumentationSection.json	522	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	474	0	0	0	1	0	0
input/profiles/StructureDefinition-SGGroupDefinition.json	1505	3	0	26	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	132	228	0	0	0	5	0	1
input/resources/StructureDefinition-SGActor.json	1245	4	0	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	82	127	0	0	0	4	0	0
input/resources/StructureDefinition-SGCode.json	1635	4	0	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	50	120	0	0	0	1	0	0
input/resources/StructureDefinition-SGGraphDefinition.json	2982	4	0	40	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	122	153	0	1	0	6	0	0
input/resources/StructureDefinition-SGRequirements.json	2830	4	0	17	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	114	151	0	0	0	5	0	1
input/resources/StructureDefinition-SGString.json	1427	4	0	5	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	32	53	0	0	0	1	0	0
input/resources/StructureDefinition-SGTransaction.json	11715	7	0	82	0	0	0	0	0	81	0	0	1	0	0	0	0	3	0	0	548	762	0	0	0	20	0	2
input/resources/StructureDefinition-SGUserStory.json	2168	6	0	6	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	44	87	0	0	0	2	0	1
