Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.base.json	23707	-	0	0	0	0	0	0	15	107	0	0	0	0	0	0	0	2	0	0	157	203	0	1	0	7	0	1
fsh-generated/resources/ActivityDefinition-SGDecisionTableGuidance.json	926	9	0	0	1	0	0	0	1	25	0	0	0	0	0	0	0	0	0	0	38	46	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CDHIv1.json	11818	15	0	0	0	0	0	0	3	51	0	0	1	0	0	0	0	0	0	0	72	626	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-CDSCv1.json	2565	9	0	0	1	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	41	92	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DecisionTableActions.json	668	6	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	32	56	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DocumentationSections.json	1121	6	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	32	58	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ISCO08.json	6914	6	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	49	91	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-SGPersonaTypes.json	970	7	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	29	52	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-SGTasks.json	3123	6	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	39	68	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CDHIv1Hierarchy.json	21902	8	0	0	1	0	0	0	4	96872	0	0	0	0	0	0	0	1	0	0	73	75	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-BusinessProcessWorkflow.json	3551	7	0	16	0	0	0	0	0	36	0	0	1	0	0	0	0	0	0	0	87	382	0	0	0	4	1	0
fsh-generated/resources/StructureDefinition-CoreDataElement.json	1998	7	0	28	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	55	274	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DAK.json	5692	7	0	97	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	82	285	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-DecisionSupportLogic.json	1497	5	0	52	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	41	119	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DublinCore.json	5625	6	0	48	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	77	172	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-FunctionalRequirement.json	3137	6	0	49	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	73	122	0	0	0	3	0	1
